function;Funktion
... through ...;von ... bis ... (zeitl. oder bei Aufz?hlungen)
;
absolute value (of x);Betrag (von x)
;
circular ;kreisf?rmig
;
ellipse;Ellipse
;
elliptical;elliptisch
;
algebraic;algebraisch
;
expression;Ausdruck
;
term;Term, Ausdruck
;
distance (between ...);Entfernung, Abstand (zwischen ...)
;
division;Division
;
 3 over 5;3 FÙnftel
;
 3 divided by 5;3 geteilt durch 5
;
 the quotient of 3 and 5;der Quotient von 3 und 5
;
 the ratio of 3 to 5;das Verh?ltnis von 3 und 5
;
 axis;Achse
;
 unknown;Unbekannte
;
 linear;linear
;
 non-linear;nichtlinear
;
 to solve;l?sen
;
 to solve ... for;nach ... aufl?sen
;
 straight line;Gerade
;
 (axis) intercept;Achsenabschnitt
;
 slope;Steigung
;
 to evaluate;auswerten
;
exponential;exponentiell
;
exponential function, exponential (colloquial);Exponentialfunktion
;
trigonometric;trigonometrisch
;
trigonometric function, trig (colloquial);trigonometrische Funktion
;
quadratic;quadratisch
;
quadratic function, quadratic (colloquial);quadratische Funktion
;
to manipulate;handhaben, bearbeiten
;
factor;Faktor
;
formula;Formel
;
side length;Seitenl?nge
;
area;Fl?che
;
triangle;Dreieck
;
volume;Volumen
;
cube;WÙrfel
;
box;Kasten, Quader
;
cylinder;Zylinder
;
cone;Kegel
;
width;Breite
;
numerator;Z?hler
;
denominator;Nenner
;
definition;Definition
;
well-defined;wohldefiniert
;
equivalent;?quivalent
;
variable;Variable
;
asymptote;Asymptote
;
If ..., then: ;Wenn ... gilt, dann gilt: 
;
horizontal;horizontal
;
vertical;vertikal
;
perpendicular (to);senkrecht (zu)
;
parallel (to);parallel (zu)
;
to intersect;sich schneiden, sich kreuzen
;
even number;gerade Zahl
;
odd number;ungerade Zahl
;
decimal;Dezimalzahl
;
sign;Vorzeichen
;
exponent;Exponent
;
percent;Prozent
;
perimeter;Umfang
;
polynomial;Polynom
;
coefficient;Koeffizient
;
to simplify;vereinfachen
;
polygon;Vieleck
;
quadrilateral;Viereck
;
pentagon;FÙnfeck
;
hexagon;Sechseck
;
logarithm to base 10;Logarithmus zur Basis 10
;
a to the fourth power, a to the fourth,  a to the power 4, a to the power of 4;a hoch 4
;
b cubed;b hoch 3
;
prime number;Primzahl
;
theorem;Satz, Theorem
;
right triangle;rechtwinkliges Dreieck
;
hypotenuse;Hypotenuse
;
leg;Kathete
;
parallelogram;Parallelogramm
;
reciprocal;Kehrwert
;
n-th root;n-te Wurzel
;
7 minus n;7 minus n 
;
the difference between 7 and n ;die Differenz zwischen 7 und n 
;
substitution;Einsetzen, Ersetzen
;
to substitute a for b;a fÙr b einsetzen
;
sine of x  ;Sinus x
;
cosine of x ;Kosinus x
;
tangent of x, tan x;Tangens x 
;
cotangent of x ;Kotangens x 
;
e to the x, exponential of x;e hoch x
;
power;Potenz
;
scientific;(natur)wissenschaftlich
;
notation;Notation, Schreibweise
;
normal (to);senkrecht (auf)
;
tangential (to);tangential (zu)
;
surface;Oberfl?che
;
surface normal;Oberfl?chennormale
;
parameter;Parameter
;
scalar;skalar, Skalar 
;
vector;Vektor
;
vectorial;vektoriell
;
graph;Graph
;
limit of f(x) as x goes/tends  to zero;Limes von  f(x) fÙr x gegen Null
;
differential equation;Differentialgleichung
;
linear first-order differential equation,  linear first-order (colloquial);lineare Differentialgleichung erster Ordnung
;
to differentiate f with respect to x;f nach x ableiten
;
derivative;(differentielle) Ableitung
;
derivative of f with respect to x;Ableitung von f nach x
;
df  by dx, df dx  (colloquial);df nach dx
;
f dot;f Punkt
;
partial derivative of f with respect to x;partielle Ableitung von f nach x
;
partial by ;partiell nach 
;
nabla ;Nabla
;
nabla operator;Nabla-Operator
;
to express;ausdrÙcken
;
to isolate;isolieren, trennen
;
series;Reihe
;
sequence;Folge
;
x1 up to xn;x1 bis xn
;
x naught, x zero;x Null
;
chain rule;Kettenregel
